approved_symbol,hgnc_id,gene_name_reported,source,source_count,source_evidence
TMEM138,26944,TMEM138,PMID_34264297 | PMID_33664247 | PMID_30476936 | PMID_31509055 | PMID_31822006 | PMID_29801666 | PMID_31027891 | PMID_33532864 | PMID_35005812,9,TRUE
TMEM216,25018,TMEM216 | MKS2,PMID_34264297 | PMID_36035137 | PMID_33664247 | PMID_30476936 | PMID_31509055 | PMID_31822006 | PMID_29801666 | PMID_31027891 | PMID_26862157 | PMID_33532864 | PMID_35005812,12,TRUE
TMEM231,37234,TMEM231,PMID_34264297 | PMID_36035137 | PMID_30476936 | PMID_31509055 | PMID_31822006 | PMID_29801666 | PMID_26862157 | PMID_33532864 | PMID_35005812,9,TRUE
TMEM237,14432,TMEM237,PMID_34264297 | PMID_36035137 | PMID_30476936 | PMID_31509055 | PMID_31822006 | PMID_29801666 | PMID_31027891 | PMID_26862157 | PMID_33532864 | PMID_35005812,10,TRUE
TMEM67,28396,TMEM67,PMID_35325889 | PMID_34264297 | PMID_36035137 | PMID_33664247 | PMID_30476936 | PMID_31509055 | PMID_31822006 | PMID_29801666 | PMID_31027891 | PMID_26862157 | PMID_33532864 | PMID_35005812,12,TRUE
TMEM70,26050,TMEM70,PMID_30476936,1,FALSE
TNFRSF1A,11916,TNFRSF1A,PMID_30476936,1,FALSE
TNS2,19737,TNS2,PMID_35325889 | PMID_34264297 | PMID_33532864,3,TRUE
TNXB,11976,TNXB,PMID_30476936 | PMID_31509055 | PMID_31822006 | PMID_31027891 | PMID_33532864,5,TRUE
TP53RK,16197,TP53RK,PMID_35325889 | PMID_34264297 | PMID_33532864,3,TRUE
TP63,15979,TP63,PMID_35325889 | PMID_30476936,2,TRUE
TPRKB,24259,TPRKB,PMID_34264297 | PMID_33532864,2,TRUE
TRAF3IP1,17861,TRAF3IP1,PMID_34264297 | PMID_30476936 | PMID_29801666 | PMID_31027891 | PMID_33532864 | PMID_35005812,6,TRUE
TRAIP,30764,TRAIP,PMID_30476936,1,FALSE
TRAP1,16264,TRAP1,PMID_33664247 | PMID_30476936 | PMID_33532864 | PMID_35005812,4,TRUE
TREX1,12269,TREX1,PMID_30476936,1,FALSE
TRIM32,16380,TRIM32,PMID_35325889 | PMID_34264297 | PMID_30476936 | PMID_31509055 | PMID_31822006 | PMID_29801666 | PMID_31027891 | PMID_33532864 | PMID_35005812,9,TRUE
TRMT5,23141,TRMT5,PMID_30476936,1,FALSE
TRNT1,17341,TRNT1,PMID_30476936,1,FALSE
TRPC6,12338,TRPC6,PMID_35325889 | PMID_34264297 | PMID_36035137 | PMID_33664247 | PMID_30476936 | PMID_31509055 | PMID_31822006 | PMID_29801666 | PMID_31027891 | PMID_26862157 | PMID_33532864,11,TRUE
TRPM6,17995,TRPM6,PMID_35325889 | PMID_34264297 | PMID_33664247 | PMID_30476936,4,TRUE
TRPS1,12340,TRPS1,PMID_33532864,1,FALSE
TSC1,12362,TSC1,PMID_35325889 | PMID_30476936 | PMID_31509055 | PMID_31822006 | PMID_29801666 | PMID_31027891 | PMID_33532864,7,TRUE
TSC2,12363,TSC2,PMID_35325889 | PMID_30476936 | PMID_31509055 | PMID_31822006 | PMID_29801666 | PMID_31027891 | PMID_33532864,7,TRUE
TSR2,25455,TSR2,PMID_30476936,1,FALSE
TTC21B,25660,TTC21B,PMID_35325889 | PMID_34264297 | PMID_36035137 | PMID_33664247 | PMID_30476936 | PMID_31509055 | PMID_31822006 | PMID_29801666 | PMID_31027891 | PMID_33532864 | PMID_35005812,11,TRUE
TTC8,20087,TTC8,PMID_35325889 | PMID_34264297 | PMID_33664247 | PMID_30476936 | PMID_31509055 | PMID_31822006 | PMID_29801666 | PMID_31027891 | PMID_33532864 | PMID_35005812,10,TRUE
TTR,12405,TTR,PMID_35325889 | PMID_30476936,2,TRUE
TWIST2,20670,TWIST2,PMID_30476936,1,FALSE
TXNL4A,30551,TXNL4A,PMID_35325889 | PMID_30476936,2,TRUE
UBE2T,25009,UBE2T,PMID_30476936,1,FALSE
UBR1,16808,UBR1,PMID_30476936,1,FALSE
UCP3,12519,UCP3,PMID_35325889,1,FALSE
UMOD,12559,UMOD,PMID_35325889 | PMID_34264297 | PMID_36035137 | PMID_33664247 | PMID_30476936 | PMID_31509055 | PMID_31822006 | PMID_29801666 | PMID_31027891 | PMID_26862157 | PMID_33532864,11,TRUE
UMPS,12563,UMPS,PMID_30476936,1,FALSE
UPB1,16297,UPB1,PMID_30476936,1,FALSE
UPK3A,12580,UPK3A,PMID_35325889 | PMID_36035137 | PMID_33664247 | PMID_30476936 | PMID_31027891 | PMID_26862157 | PMID_33532864 | PMID_35005812,8,TRUE
UQCC2,21237,UQCC2,PMID_35325889 | PMID_30476936,2,TRUE
USF2,12594,USF2,PMID_36035137 | PMID_26862157,2,TRUE
USP9X,12632,USP9X,PMID_30476936,1,FALSE
VANGL1,15512,VANGL1,PMID_30476936,1,FALSE
VDR,12679,VDR,PMID_35325889 | PMID_33664247 | PMID_31027891 | PMID_33532864,4,TRUE
VHL,12687,VHL,PMID_35325889 | PMID_30476936 | PMID_31509055 | PMID_31822006 | PMID_29801666 | PMID_31027891 | PMID_33532864,7,TRUE
VIPAS39,20347,VIPAS39,PMID_30476936 | PMID_31509055 | PMID_31822006,3,TRUE
VPS33B,12712,VPS33B,PMID_30476936 | PMID_31509055 | PMID_31822006,3,TRUE
VWA2,24709,VWA2,PMID_33532864,1,FALSE
WAS,12731,WAS,PMID_35325889 | PMID_30476936,2,TRUE
WDPCP,28027,WDPCP,PMID_35325889 | PMID_34264297 | PMID_33664247 | PMID_30476936 | PMID_31509055 | PMID_31822006 | PMID_29801666 | PMID_31027891 | PMID_33532864 | PMID_35005812,10,TRUE
WDR19,18340,WDR19,PMID_35325889 | PMID_34264297 | PMID_33664247 | PMID_30476936 | PMID_31509055 | PMID_31822006 | PMID_29801666 | PMID_31027891 | PMID_33532864 | PMID_35005812,10,TRUE
WDR35,29250,WDR35,PMID_33664247 | PMID_30476936 | PMID_31509055 | PMID_31822006 | PMID_29801666 | PMID_31027891 | PMID_33532864 | PMID_35005812,8,TRUE
WDR4,12756,WDR4,PMID_34264297,1,FALSE
WDR72,26790,WDR72,PMID_35325889 | PMID_34264297,2,TRUE
WDR73,25928,WDR73,PMID_35325889 | PMID_34264297 | PMID_30476936 | PMID_31509055 | PMID_31822006 | PMID_29801666 | PMID_33532864,7,TRUE
WFS1,12762,WFS1,PMID_35325889 | PMID_30476936 | PMID_33532864,3,TRUE
WNK1,14540,WNK1,PMID_35325889 | PMID_34264297 | PMID_36035137 | PMID_33664247 | PMID_30476936 | PMID_31027891 | PMID_26862157 | PMID_33532864,8,TRUE
WNK4,14544,WNK4,PMID_35325889 | PMID_34264297 | PMID_36035137 | PMID_33664247 | PMID_30476936 | PMID_31509055 | PMID_31822006 | PMID_31027891 | PMID_26862157 | PMID_33532864,10,TRUE
WNT3,12782,WNT3,PMID_30476936,1,FALSE
WNT4,12783,WNT4,PMID_35325889 | PMID_33664247 | PMID_30476936 | PMID_31509055 | PMID_31822006 | PMID_31027891 | PMID_33532864 | PMID_35005812,8,TRUE
WNT5A,12784,WNT5A,PMID_35325889 | PMID_30476936,2,TRUE
WNT7A,12786,WNT7A,PMID_30476936,1,FALSE
WNT9B,12779,WNT9B,PMID_34264297 | PMID_35005812,2,TRUE
