approved_symbol,hgnc_id,gene_name_reported,source,source_count,source_evidence
AQP2,634,AQP2,36613622; 34238461; 32621731; 32281760; 30800291; 28409346; 18633336,10,TRUE
AR,644,AR,36341250; 15191353,2,FALSE
AREG,651,AREG,22570239,2,FALSE
ARF4,655,ARF4,21775626,1,FALSE
ARG1,663,ARG1,25398989,1,FALSE
ARHGAP1,673,ARHGAP1,26859289,1,FALSE
ARHGAP24,25361,ARHGAP24,33414249; 27461219; 21911940,4,TRUE
ARHGAP35,4591,ARHGAP35,26859289,3,TRUE
ARHGDIA,678,ARHGDIA,23867502,1,FALSE
ARHGEF11,14580,ARHGEF11,22987919,1,FALSE
ARHGEF15,15590,ARHGEF15,10405216,1,FALSE
ARHGEF26,24490,ARHGEF26,27039371,1,FALSE
ARHGEF28,30322,ARHGEF28,27039371,1,FALSE
ARID1A,11110,ARID1A,30955891,2,FALSE
ARID1B,18040,ARID1B,35122417,1,FALSE
ARL15,25945,ARL15,28757432,1,FALSE
ARL6,13210,ARL6,28624958; 27659767; 24939912; 16565502; 15770229; 11179009,7,TRUE
ARMS2,32685,ARMS2,22155603,2,FALSE
ARPC1B,704,ARPC1B,32581362,1,FALSE
ARSA,713,ARSA,30026549,2,FALSE
ARSB,714,ARSB,31660881,1,FALSE
ARVCF,728,ARVCF,29768670,1,FALSE
ASAP1,2720,ASAP1,21775626,2,FALSE
ASGR1,742,ASGR1,29043262,1,FALSE
ASPSCR1,13825,ASPSCR1,27733182,1,FALSE
ATF2,784,ATF2,16049073,1,FALSE
ATF4,786,ATF4,30951856; 16682973,2,FALSE
ATF6,791,ATF6,31348885; 24303155,2,FALSE
ATG10,20315,ATG10,29727689,1,FALSE
ATG5,589,ATG5,26039132,1,FALSE
ATIC,794,ATIC,34975292,1,FALSE
ATM,795,ATM,35122417; 34797032; 31937846; 31160347; 29093088,5,TRUE
ATMIN,29034,ATMIN,30414501,2,FALSE
ATP1A1,799,ATP1A1,25906099; 22891072,2,FALSE
ATP2A2,812,ATP2A2,35064074,1,FALSE
ATP2B1,814,ATP2B1,31681547,1,FALSE
ATP2B3,816,ATP2B3,25906099,1,FALSE
ATP6AP2,18305,ATP6AP2,21755055,3,TRUE
ATP6V0A2,18481,ATP6V0A2,12536190,1,FALSE
ATP6V0A4,866,ATP6V0A4,37016093; 36165107; 33881640; 32613277; 30588151; 29627839; 29344504; 29202719; 28233610,9,TRUE
ATP6V1B1,853,ATP6V1B1,37016093; 36216732; 36035137; 35505724; 36165107; 33881640; 32613277; 30588151; 29627839; 29344504; 29202719; 28233610; 21849803,13,TRUE
ATP7A,869,ATP7A,30618512,1,FALSE
ATP7B,870,ATP7B,26784915,1,FALSE
ATP8B1,3706,ATP8B1,25771912,1,FALSE
ATR,882,ATR,29093088; 22872635; 11157797; 8768826; 8821846,6,TRUE
ATRX,886,ATRX,19288324; 15385810,2,FALSE
ATXN2,10555,ATXN2,33678313; 21691125; 20728256,3,TRUE
ATXN3,7106,ATXN3,25636101,1,FALSE
AUH,890,AUH,25850930,1,FALSE
AURKA,11393,AURKA,25139996; 21670214,3,TRUE
AVIL,14188,AVIL,29058690,4,TRUE
AVP,894,AVP,36613622; 34238461; 32621731; 31395386; 30800291; 30598831; 30368514; 27921039; 27540244; 25870007; 25899979; 25573484; 24485027; 17090781,18,TRUE
AVPR2,897,AVPR2,34486176; 33308138; 32621731; 28409346; 27921039; 27540244; 26328773; 24030030; 18460874,10,TRUE
AXIN2,904,AXIN2,28796175; 21876774,2,FALSE
B2M,914,B2M,34246230; 33107589; 31208513; 30624993; 18455850; 10620204,6,TRUE
B4GALNT2,24136,B4GALNT2,35446786,1,FALSE
B4GALT1,924,B4GALT1,29499270,1,FALSE
B9D1,24123,B9D1,21493627,1,FALSE
BACH2,14078,BACH2,34834585,1,FALSE
BAK1,949,BAK1,32518871; 26805783,2,FALSE
BANK1,18233,BANK1,34127828,1,FALSE
BAP1,950,BAP1,32860304,1,FALSE
BAX,959,BAX,30951856; 28981088; 20875407,5,TRUE
BBS1,966,BBS1,35140360; 34122504; 33369054; 32917769; 32954066; 32574212; 31283077; 30142598; 28624958; 27659767; 24939912; 15770229; 11096143,15,TRUE
BBS10,26291,BBS10,36281451; 36012682; 35112343; 35140360; 32954066; 31951329; 28624958; 27659767; 20876674,12,TRUE
BBS12,26648,BBS12,35140360; 33369054; 28624958; 27659767; 20876674,5,TRUE
BBS2,967,BBS2,37003573; 35951741; 35140360; 35065907; 32954066; 31951329; 31283077; 28624958; 27659767; 19396898; 15770229; 11179009; 11096143,17,TRUE
BBS4,969,BBS4,35140360; 33964006; 31283077; 28624958; 27659767; 24939912; 15770229,8,TRUE
BBS7,18758,BBS7,34146953; 31589838; 31283077; 28624958; 27659767; 27004616; 15770229,8,TRUE
BBS9,30000,BBS9,35065907; 34354814; 31283077; 28624958; 27659767,6,TRUE
BCAR1,971,BCAR1,34215845; 11113628,3,TRUE
BCHE,983,BCHE,21475901,1,FALSE
