approved_symbol,hgnc_id,gene_name_reported,source,source_count,source_evidence
CACNA1D,1391,CACNA1D,OMIM:615474 (HP:0000787),1,TRUE
CAD,1424,CAD,OMIM:616457 (HP:0001947),1,TRUE
CAMK2A,1460,CAMK2A,OMIM:617798 (HP:0000126),1,TRUE
CAPN15,11182,CAPN15,OMIM:619318 (HP:0000085),1,TRUE
CASP10,1500,CASP10,OMIM:603909 (HP:0000123 | HP:0000100),1,TRUE
CASR,1514,CASR,OMIM:145980 (HP:0000787); OMIM:239200 (HP:0000103); OMIM:239200 (HP:0000103); OMIM:601198 (HP:0000121 | HP:0012213 | HP:0000787); OMIM:601198 (HP:0000121 | HP:0012213 | HP:0000787),5,TRUE
CAV1,1527,CAV1,OMIM:606721 (HP:0000103),1,TRUE
CC2D2A,29253,CC2D2A,OMIM:612284 (HP:0000085 | HP:0000107); OMIM:612285 (HP:0003774); OMIM:619111 (HP:0004719),3,TRUE
CCBE1,29426,CCBE1,OMIM:235510 (HP:0000086 | HP:0000085 | HP:0000126 | HP:0000076),1,TRUE
CCDC28B,28163,CCDC28B,OMIM:209900 (HP:0000077); OMIM:209900 (HP:0000077),2,TRUE
CCND1,1582,CCND1,OMIM:114500 (HP:0005584); OMIM:114500 (HP:0005584); OMIM:193300 (HP:0005584 | HP:0005562),3,TRUE
CCNQ,28434,CCNQ,OMIM:300707 (HP:0004736 | HP:0000076 | HP:0000072 | HP:0000125 | HP:0000126),1,TRUE
CD151,1630,CD151,OMIM:609057 (HP:0003774 | HP:0000123 | HP:0033485 | HP:0004722),1,TRUE
CD2AP,14258,CD2AP,OMIM:607832 (HP:0000083 | HP:0000097 | HP:0000790),1,TRUE
CD46,6953,CD46,OMIM:612922 (HP:0005575 | HP:0000790 | HP:0001919 | HP:0100519); OMIM:612922 (HP:0005575 | HP:0000790 | HP:0001919 | HP:0100519),2,TRUE
CD81,1701,CD81,OMIM:613496 (HP:0000099 | HP:0003774 | HP:0012587 | HP:0033295 | HP:0000105 | HP:0000126),1,TRUE
CD96,16892,CD96,OMIM:211750 (HP:0000803),1,TRUE
CDC42,1736,CDC42,OMIM:616737 (HP:0000122 | HP:0000126),1,TRUE
CDC42BPB,1738,CDC42BPB,OMIM:619841 (HP:0010945 | HP:0004736),1,TRUE
CDC45,1739,CDC45,OMIM:617063 (HP:0000076),1,TRUE
CDC73,16783,CDC73,OMIM:145001 (HP:0006735 | HP:0002667 | HP:0000113 | HP:0000787 | HP:0006766); OMIM:145001 (HP:0006735 | HP:0002667 | HP:0000113 | HP:0000787 | HP:0006766),2,TRUE
CDKN1B,1785,CDKN1B,OMIM:610755 (HP:0006772),1,TRUE
CDKN1C,1786,CDKN1C,OMIM:130650 (HP:0000121 | HP:0000076 | HP:0000803 | HP:0002667 | HP:0000105 | HP:0000787),1,TRUE
CENPF,1857,CENPF,OMIM:243605 (HP:0012584 | HP:0000126),1,TRUE
CEP120,26690,CEP120,OMIM:616300 (HP:0000089 | HP:0000107),1,TRUE
CEP164,29182,CEP164,OMIM:614845 (HP:0000090),1,TRUE
CEP290,29021,CEP290,OMIM:610188 (HP:0003774 | HP:0005565 | HP:0000090 | HP:0000803 | HP:0004727); OMIM:610189 (HP:0003774); OMIM:611134 (HP:0000107); OMIM:615991 (HP:0000083),4,TRUE
CEP41,12370,CEP41,OMIM:614464 (HP:0000090),1,TRUE
CEP55,1161,CEP55,OMIM:236500 (HP:0000089 | HP:0000110 | HP:0012300 | HP:0000107),1,TRUE
CEP83,17966,CEP83,OMIM:615862 (HP:0003774 | HP:0001970 | HP:0000090 | HP:0000092 | HP:0004722),1,TRUE
CFAP418,27232,CFAP418,OMIM:617406 (HP:0000085),1,TRUE
CFB,1037,CFB,OMIM:612924 (HP:0001919 | HP:0005575 | HP:0000790 | HP:0100519),1,TRUE
CFH,4883,CFH,OMIM:235400 (HP:0005575 | HP:0001919 | HP:0100519); OMIM:235400 (HP:0005575 | HP:0001919 | HP:0100519); OMIM:609814 (HP:0000790 | HP:0004746 | HP:0012622 | HP:0004722); OMIM:609814 (HP:0000790 | HP:0004746 | HP:0012622 | HP:0004722),4,TRUE
CFHR1,4888,CFHR1,OMIM:235400 (HP:0005575 | HP:0001919 | HP:0100519); OMIM:235400 (HP:0005575 | HP:0001919 | HP:0100519),2,TRUE
CFHR3,16980,CFHR3,OMIM:235400 (HP:0005575 | HP:0001919 | HP:0100519); OMIM:235400 (HP:0005575 | HP:0001919 | HP:0100519),2,TRUE
CFHR5,24668,CFHR5,OMIM:614809 (HP:0000099 | HP:0003774 | HP:0033493 | HP:0012574 | HP:0025005 | HP:0000083 | HP:0002907 | HP:0012576 | HP:0004746),1,TRUE
CFI,5394,CFI,OMIM:610984 (HP:0000099 | HP:0000083 | HP:0012330); OMIM:612923 (HP:0005575 | HP:0000790 | HP:0001919 | HP:0100519),2,TRUE
CHD4,1919,CHD4,OMIM:617159 (HP:0000083 | HP:0000076),1,TRUE
CHD7,20626,CHD7,OMIM:214800 (HP:0000089 | HP:0000085 | HP:0000126 | HP:0000104),1,TRUE
CHEK2,16627,CHEK2,OMIM:114500 (HP:0005584); OMIM:114500 (HP:0005584),2,TRUE
CHKA,1937,CHKA,OMIM:620023 (HP:0000787),1,TRUE
CHRM3,1952,CHRM3,OMIM:100100 (HP:0000072 | HP:0000126),1,TRUE
CHRNA3,1957,CHRNA3,OMIM:191800 (HP:0000076 | HP:0012624 | HP:0000126),1,TRUE
CHST14,24464,CHST14,OMIM:601776 (HP:0000126 | HP:0000100),1,TRUE
CHUK,1974,CHUK,OMIM:613630 (HP:0000085),1,TRUE
CILK1,21219,CILK1,OMIM:612651 (HP:0004719 | HP:0000105),1,TRUE
CIT,1985,CIT,OMIM:617090 (HP:0000104),1,TRUE
CLCN3,2021,CLCN3,OMIM:619512 (HP:0010945),1,TRUE
CLCN5,2023,CLCN5,OMIM:300009 (HP:0000121 | HP:0003774 | HP:0000083 | HP:0012622 | HP:0000114 | HP:0002907 | HP:0000787); OMIM:300554 (HP:0000121 | HP:0000083 | HP:0012622 | HP:0000114 | HP:0000787); OMIM:308990 (HP:0000121 | HP:0000083 | HP:0000097 | HP:0000092 | HP:0002907 | HP:0000114); OMIM:310468 (HP:0000121 | HP:0005576 | HP:0000083 | HP:0002907 | HP:0000096 | HP:0000092 | HP:0000114 | HP:0000787 | HP:0012622),4,TRUE
CLCN7,2025,CLCN7,OMIM:618541 (HP:0005565),1,TRUE
CLCNKA,2026,CLCNKA,OMIM:613090 (HP:0000083 | HP:0012213 | HP:0000103),1,TRUE
CLCNKB,2027,CLCNKB,OMIM:607364 (HP:0000121 | HP:0005579 | HP:0000103); OMIM:613090 (HP:0000083 | HP:0012213 | HP:0000103),2,TRUE
CLDN10,2033,CLDN10,OMIM:617671 (HP:0000083 | HP:0000103 | HP:0000787),1,TRUE
CLDN16,2037,CLDN16,OMIM:248250 (HP:0000121 | HP:0012622 | HP:0000790 | HP:0008341 | HP:0000103 | HP:0000787),1,TRUE
CLDN19,2040,CLDN19,OMIM:248190 (HP:0000121 | HP:0003774 | HP:0012622 | HP:0000787),1,TRUE
CLDN2,2041,CLDN2,OMIM:301060 (HP:0000787),1,TRUE
CNNM2,103,CNNM2,OMIM:613882 (HP:0033759),1,TRUE
COG1,6545,COG1,OMIM:611209 (HP:0005575 | HP:0000083 | HP:0000126),1,TRUE
COG6,18621,COG6,OMIM:614576 (HP:0000122 | HP:0004719 | HP:0000114),1,TRUE
COG7,18622,COG7,OMIM:608779 (HP:0000126),1,TRUE
COL18A1,2195,COL18A1,OMIM:267750 (HP:0000081 | HP:0000126 | HP:0030037 | HP:0000075),1,TRUE
COL4A1,2202,COL4A1,OMIM:611773 (HP:0000083 | HP:0000790 | HP:0000107),1,TRUE
COL4A3,2204,COL4A3,OMIM:104200 (HP:0000099 | HP:0000121 | HP:0003774 | HP:0000123 | HP:0000100 | HP:0000083 | HP:0030034 | HP:0000790 | HP:0002907 | HP:0004722); OMIM:203780 (HP:0003774 | HP:0000123 | HP:0000100 | HP:0000083 | HP:0030034 | HP:0000790 | HP:0004722),2,TRUE
COL4A4,2206,COL4A4,OMIM:141200 (HP:0000790 | HP:0012577); OMIM:203780 (HP:0003774 | HP:0000123 | HP:0000100 | HP:0000083 | HP:0030034 | HP:0000790 | HP:0004722),2,TRUE
COL4A5,2207,COL4A5,OMIM:301050 (HP:0003774 | HP:0000123 | HP:0000100 | HP:0000083 | HP:0030034 | HP:0002907 | HP:0004722),1,TRUE
COLEC10,2220,COLEC10,OMIM:248340 (HP:0000085),1,TRUE
COLEC11,17213,COLEC11,OMIM:265050 (HP:0000085),1,TRUE
COPA,2230,COPA,OMIM:616414 (HP:0012574 | HP:0008653),1,TRUE
COQ2,25223,COQ2,OMIM:607426 (HP:0000100 | HP:0000097 | HP:0000096),1,TRUE
COQ6,20233,COQ6,OMIM:614650 (HP:0003774 | HP:0000097 | HP:0012588 | HP:0001967 | HP:0000787),1,TRUE
COQ7,2244,COQ7,OMIM:616733 (HP:0000110 | HP:0005932),1,TRUE
COQ8B,19041,COQ8B,OMIM:615573 (HP:0003774 | HP:0000097 | HP:0000096 | HP:0012588),1,TRUE
COX14,28216,COX14,OMIM:619053 (HP:0000089),1,TRUE
CPLANE1,25801,CPLANE1,OMIM:277170 (HP:0000110 | HP:0000104); OMIM:614615 (HP:0012210),2,TRUE
CPT1A,2328,CPT1A,OMIM:255120 (HP:0001947),1,TRUE
CPT2,2330,CPT2,OMIM:255110 (HP:0000083); OMIM:255110 (HP:0000083); OMIM:608836 (HP:0000083 | HP:0000113 | HP:0000126 | HP:0000110 | HP:0000073 | HP:0000105),3,TRUE
CRB2,18688,CRB2,OMIM:219730 (HP:0000083 | HP:0000108); OMIM:616220 (HP:0000097 | HP:0012588),2,TRUE
CREBBP,2348,CREBBP,OMIM:180849 (HP:0000126),1,TRUE
CRTAP,2379,CRTAP,OMIM:610682 (HP:0000126),1,TRUE
CSPP1,26193,CSPP1,OMIM:615636 (HP:0004719 | HP:0000107),1,TRUE
CTLA4,2505,CTLA4,OMIM:152700 (HP:0033726 | HP:0000123),1,TRUE
CTNNB1,2514,CTNNB1,OMIM:114500 (HP:0005584),1,TRUE
CTNS,2518,CTNS,OMIM:219800 (HP:0000083 | HP:0002907 | HP:0003774 | HP:0012408 | HP:0000790 | HP:0000103 | HP:0001994 | HP:0000787); OMIM:219800 (HP:0000083 | HP:0002907 | HP:0003774 | HP:0012408 | HP:0000790 | HP:0000103 | HP:0001994 | HP:0000787); OMIM:219900 (HP:0003774),3,TRUE
CTU2,28005,CTU2,OMIM:618142 (HP:0000122 | HP:0004736),1,TRUE
CUBN,2548,CUBN,OMIM:261100 (HP:0002907); OMIM:618884 (HP:0000083),2,TRUE
CWC27,10664,CWC27,OMIM:250410 (HP:0000085 | HP:0000107),1,TRUE
CYB561,2571,CYB561,OMIM:618182 (HP:0012213),1,TRUE
CYBC1,28672,CYBC1,OMIM:618935 (HP:0000100),1,TRUE
CYP24A1,2602,CYP24A1,OMIM:143880 (HP:0000121 | HP:0012408 | HP:0000103 | HP:0000787),1,TRUE
DAAM2,18143,DAAM2,OMIM:619263 (HP:0033132 | HP:0000097 | HP:0031266 | HP:0012588),1,TRUE
DACT1,17748,DACT1,OMIM:617466 (HP:0000076 | HP:0004736),1,TRUE
DCC,2701,DCC,OMIM:114500 (HP:0005584),1,TRUE
DCDC2,18141,DCDC2,OMIM:616217 (HP:0003774 | HP:0032948 | HP:0004719 | HP:0000090); OMIM:617394 (HP:0000076),2,TRUE
DCHS1,13681,DCHS1,OMIM:601390 (HP:0000089),1,TRUE
DDB1,2717,DDB1,OMIM:619426 (HP:0000085 | HP:0000126 | HP:0000072),1,TRUE
DDX59,25360,DDX59,OMIM:174300 (HP:0000085),1,TRUE
DDX6,2747,DDX6,OMIM:618653 (HP:0000076 | HP:0000125 | HP:0000126),1,TRUE
DGKE,2852,DGKE,OMIM:615008 (HP:0003774 | HP:0001919 | HP:0000099 | HP:0000100 | HP:0005575 | HP:0004722); OMIM:615008 (HP:0003774 | HP:0001919 | HP:0000099 | HP:0000100 | HP:0005575 | HP:0004722),2,TRUE
DHCR7,2860,DHCR7,OMIM:270400 (HP:0000089 | HP:0000122 | HP:0000081 | HP:0000126 | HP:0000074 | HP:0000107 | HP:0000104),1,TRUE
DHDDS,20603,DHDDS,OMIM:613861 (HP:0000083); OMIM:613861 (HP:0000083),2,TRUE
DHODH,2867,DHODH,OMIM:263750 (HP:0000077),1,TRUE
DHX16,2739,DHX16,OMIM:618733 (HP:0005565 | HP:0005562),1,TRUE
DICER1,17098,DICER1,OMIM:180295 (HP:0002667); OMIM:618272 (HP:0002667 | HP:0000105),2,TRUE
DIS3L2,28648,DIS3L2,OMIM:267000 (HP:0008696 | HP:0100880 | HP:0008643 | HP:0002667),1,TRUE
DKC1,2890,DKC1,OMIM:305000 (HP:0000085),1,TRUE
DLC1,2897,DLC1,OMIM:114500 (HP:0005584),1,TRUE
DLL4,2910,DLL4,OMIM:616589 (HP:0000089),1,TRUE
DNA2,2939,DNA2,OMIM:615807 (HP:0000086),1,TRUE
DNAJB11,14889,DNAJB11,OMIM:618061 (HP:0003774 | HP:0000083 | HP:0012213 | HP:0000113),1,TRUE
DNASE1,2956,DNASE1,OMIM:152700 (HP:0033726 | HP:0000123),1,TRUE
DNASE1L3,2959,DNASE1L3,OMIM:614420 (HP:0033726),1,TRUE
DNASE2,2960,DNASE2,OMIM:619858 (HP:0000793),1,TRUE
DNMT3A,2978,DNMT3A,OMIM:615879 (HP:0000076),1,TRUE
DPH1,3003,DPH1,OMIM:616901 (HP:0001970 | HP:0000790),1,TRUE
DSTYK,29043,DSTYK,OMIM:610805 (HP:0003774 | HP:0000076 | HP:0000074),1,TRUE
DVL3,3087,DVL3,OMIM:616894 (HP:0000076),1,TRUE
DYNC2H1,2962,DYNC2H1,OMIM:613091 (HP:0000113 | HP:0000110 | HP:0000105); OMIM:613091 (HP:0000113 | HP:0000110 | HP:0000105),2,TRUE
DYNC2I2,28296,DYNC2I2,OMIM:615633 (HP:0000121),1,TRUE
DYNC2LI1,24595,DYNC2LI1,OMIM:617088 (HP:0000085),1,TRUE
DZIP1L,26551,DZIP1L,OMIM:617610 (HP:0003774 | HP:0005565 | HP:0004719 | HP:0000113 | HP:0000105),1,TRUE
EBF3,19087,EBF3,OMIM:617330 (HP:0000076),1,TRUE
EBP,3133,EBP,OMIM:300960 (HP:0004736); OMIM:302960 (HP:0000126),2,TRUE
